,class1,class2,gender,noun,nounclass,predicate1,predicate2,response,slide_number,language,enjoyment,asses,age,education,comments,prolific,Browser,OS,screenH,screenW,time_in_minutes,participant_id
0,shape,color,Female,chair,furniture,round,brown,1.0,3,ελληνικά,1,Yes,22,0,δεν έχω συγκεκριμένη άποψη καθώς δεν είμαι σίγουρη προς τι χρησιμοποιούνται τα αποτελέσματα του ερωτηματολογίου,5bc1eb0724fe6b0001e415c1,Chrome,Windows,1080,1920,3.7075666666666667,7
1,texture,color,Female,desk,furniture,hard,brown,1.0,4,ελληνικά,1,Yes,22,0,δεν έχω συγκεκριμένη άποψη καθώς δεν είμαι σίγουρη προς τι χρησιμοποιούνται τα αποτελέσματα του ερωτηματολογίου,5bc1eb0724fe6b0001e415c1,Chrome,Windows,1080,1920,3.7075666666666667,7
2,material,texture,Female,fan,furniture,metal,smooth,1.0,5,ελληνικά,1,Yes,22,0,δεν έχω συγκεκριμένη άποψη καθώς δεν είμαι σίγουρη προς τι χρησιμοποιούνται τα αποτελέσματα του ερωτηματολογίου,5bc1eb0724fe6b0001e415c1,Chrome,Windows,1080,1920,3.7075666666666667,7
3,material,quality,Female,couch,furniture,plastic,good,0.0,6,ελληνικά,1,Yes,22,0,δεν έχω συγκεκριμένη άποψη καθώς δεν είμαι σίγουρη προς τι χρησιμοποιούνται τα αποτελέσματα του ερωτηματολογίου,5bc1eb0724fe6b0001e415c1,Chrome,Windows,1080,1920,3.7075666666666667,7
4,texture,age,Female,carrot,food,soft,fresh,0.5,7,ελληνικά,1,Yes,22,0,δεν έχω συγκεκριμένη άποψη καθώς δεν είμαι σίγουρη προς τι χρησιμοποιούνται τα αποτελέσματα του ερωτηματολογίου,5bc1eb0724fe6b0001e415c1,Chrome,Windows,1080,1920,3.7075666666666667,7
5,texture,material,Female,tomato,food,soft,plastic,0.0,8,ελληνικά,1,Yes,22,0,δεν έχω συγκεκριμένη άποψη καθώς δεν είμαι σίγουρη προς τι χρησιμοποιούνται τα αποτελέσματα του ερωτηματολογίου,5bc1eb0724fe6b0001e415c1,Chrome,Windows,1080,1920,3.7075666666666667,7
6,material,color,Female,tomato,food,plastic,brown,0.0,9,ελληνικά,1,Yes,22,0,δεν έχω συγκεκριμένη άποψη καθώς δεν είμαι σίγουρη προς τι χρησιμοποιούνται τα αποτελέσματα του ερωτηματολογίου,5bc1eb0724fe6b0001e415c1,Chrome,Windows,1080,1920,3.7075666666666667,7
7,material,size,Female,cheese,food,wooden,long,0.0,10,ελληνικά,1,Yes,22,0,δεν έχω συγκεκριμένη άποψη καθώς δεν είμαι σίγουρη προς τι χρησιμοποιούνται τα αποτελέσματα του ερωτηματολογίου,5bc1eb0724fe6b0001e415c1,Chrome,Windows,1080,1920,3.7075666666666667,7
8,age,material,Female,carrot,food,old,metal,1.0,11,ελληνικά,1,Yes,22,0,δεν έχω συγκεκριμένη άποψη καθώς δεν είμαι σίγουρη προς τι χρησιμοποιούνται τα αποτελέσματα του ερωτηματολογίου,5bc1eb0724fe6b0001e415c1,Chrome,Windows,1080,1920,3.7075666666666667,7
9,quality,age,Female,couch,furniture,good,rotten,0.0,12,ελληνικά,1,Yes,22,0,δεν έχω συγκεκριμένη άποψη καθώς δεν είμαι σίγουρη προς τι χρησιμοποιούνται τα αποτελέσματα του ερωτηματολογίου,5bc1eb0724fe6b0001e415c1,Chrome,Windows,1080,1920,3.7075666666666667,7
10,color,texture,Female,apple,food,green,hard,0.0,13,ελληνικά,1,Yes,22,0,δεν έχω συγκεκριμένη άποψη καθώς δεν είμαι σίγουρη προς τι χρησιμοποιούνται τα αποτελέσματα του ερωτηματολογίου,5bc1eb0724fe6b0001e415c1,Chrome,Windows,1080,1920,3.7075666666666667,7
11,texture,color,Female,chair,furniture,smooth,red,1.0,14,ελληνικά,1,Yes,22,0,δεν έχω συγκεκριμένη άποψη καθώς δεν είμαι σίγουρη προς τι χρησιμοποιούνται τα αποτελέσματα του ερωτηματολογίου,5bc1eb0724fe6b0001e415c1,Chrome,Windows,1080,1920,3.7075666666666667,7
12,shape,size,Female,apple,food,round,small,0.0,15,ελληνικά,1,Yes,22,0,δεν έχω συγκεκριμένη άποψη καθώς δεν είμαι σίγουρη προς τι χρησιμοποιούνται τα αποτελέσματα του ερωτηματολογίου,5bc1eb0724fe6b0001e415c1,Chrome,Windows,1080,1920,3.7075666666666667,7
13,size,color,Female,chair,furniture,tiny,blue,1.0,16,ελληνικά,1,Yes,22,0,δεν έχω συγκεκριμένη άποψη καθώς δεν είμαι σίγουρη προς τι χρησιμοποιούνται τα αποτελέσματα του ερωτηματολογίου,5bc1eb0724fe6b0001e415c1,Chrome,Windows,1080,1920,3.7075666666666667,7
14,age,texture,Female,tomato,food,new,soft,0.0,17,ελληνικά,1,Yes,22,0,δεν έχω συγκεκριμένη άποψη καθώς δεν είμαι σίγουρη προς τι χρησιμοποιούνται τα αποτελέσματα του ερωτηματολογίου,5bc1eb0724fe6b0001e415c1,Chrome,Windows,1080,1920,3.7075666666666667,7
15,size,quality,Female,tomato,food,tiny,broken,0.0,18,ελληνικά,1,Yes,22,0,δεν έχω συγκεκριμένη άποψη καθώς δεν είμαι σίγουρη προς τι χρησιμοποιούνται τα αποτελέσματα του ερωτηματολογίου,5bc1eb0724fe6b0001e415c1,Chrome,Windows,1080,1920,3.7075666666666667,7
16,color,size,Female,couch,furniture,brown,tiny,1.0,19,ελληνικά,1,Yes,22,0,δεν έχω συγκεκριμένη άποψη καθώς δεν είμαι σίγουρη προς τι χρησιμοποιούνται τα αποτελέσματα του ερωτηματολογίου,5bc1eb0724fe6b0001e415c1,Chrome,Windows,1080,1920,3.7075666666666667,7
17,color,quality,Female,apple,food,blue,broken,0.0,20,ελληνικά,1,Yes,22,0,δεν έχω συγκεκριμένη άποψη καθώς δεν είμαι σίγουρη προς τι χρησιμοποιούνται τα αποτελέσματα του ερωτηματολογίου,5bc1eb0724fe6b0001e415c1,Chrome,Windows,1080,1920,3.7075666666666667,7
18,shape,age,Female,desk,furniture,round,old,0.0,21,ελληνικά,1,Yes,22,0,δεν έχω συγκεκριμένη άποψη καθώς δεν είμαι σίγουρη προς τι χρησιμοποιούνται τα αποτελέσματα του ερωτηματολογίου,5bc1eb0724fe6b0001e415c1,Chrome,Windows,1080,1920,3.7075666666666667,7
19,size,shape,Female,chair,furniture,tiny,round,1.0,22,ελληνικά,1,Yes,22,0,δεν έχω συγκεκριμένη άποψη καθώς δεν είμαι σίγουρη προς τι χρησιμοποιούνται τα αποτελέσματα του ερωτηματολογίου,5bc1eb0724fe6b0001e415c1,Chrome,Windows,1080,1920,3.7075666666666667,7
20,color,material,Female,cheese,food,blue,metal,0.47,23,ελληνικά,1,Yes,22,0,δεν έχω συγκεκριμένη άποψη καθώς δεν είμαι σίγουρη προς τι χρησιμοποιούνται τα αποτελέσματα του ερωτηματολογίου,5bc1eb0724fe6b0001e415c1,Chrome,Windows,1080,1920,3.7075666666666667,7
21,material,color,Female,tomato,food,metal,blue,0.0,24,ελληνικά,1,Yes,22,0,δεν έχω συγκεκριμένη άποψη καθώς δεν είμαι σίγουρη προς τι χρησιμοποιούνται τα αποτελέσματα του ερωτηματολογίου,5bc1eb0724fe6b0001e415c1,Chrome,Windows,1080,1920,3.7075666666666667,7
22,color,age,Female,chair,furniture,green,rotten,0.0,25,ελληνικά,1,Yes,22,0,δεν έχω συγκεκριμένη άποψη καθώς δεν είμαι σίγουρη προς τι χρησιμοποιούνται τα αποτελέσματα του ερωτηματολογίου,5bc1eb0724fe6b0001e415c1,Chrome,Windows,1080,1920,3.7075666666666667,7
23,size,quality,Female,chair,furniture,small,good,1.0,26,ελληνικά,1,Yes,22,0,δεν έχω συγκεκριμένη άποψη καθώς δεν είμαι σίγουρη προς τι χρησιμοποιούνται τα αποτελέσματα του ερωτηματολογίου,5bc1eb0724fe6b0001e415c1,Chrome,Windows,1080,1920,3.7075666666666667,7
24,quality,material,Female,apple,food,broken,plastic,0.67,27,ελληνικά,1,Yes,22,0,δεν έχω συγκεκριμένη άποψη καθώς δεν είμαι σίγουρη προς τι χρησιμοποιούνται τα αποτελέσματα του ερωτηματολογίου,5bc1eb0724fe6b0001e415c1,Chrome,Windows,1080,1920,3.7075666666666667,7
25,texture,size,Female,cheese,food,hard,big,0.0,28,ελληνικά,1,Yes,22,0,δεν έχω συγκεκριμένη άποψη καθώς δεν είμαι σίγουρη προς τι χρησιμοποιούνται τα αποτελέσματα του ερωτηματολογίου,5bc1eb0724fe6b0001e415c1,Chrome,Windows,1080,1920,3.7075666666666667,7
0,size,material,Male,tomato,food,tiny,plastic,1.0,3,Ελληνικά,1,Yes,25,2,,5c6e01f1a8f71b0001c1ed34,Chrome,Windows,768,1366,4.366183333333334,8
1,color,quality,Male,cheese,food,purple,broken,0.0,4,Ελληνικά,1,Yes,25,2,,5c6e01f1a8f71b0001c1ed34,Chrome,Windows,768,1366,4.366183333333334,8
2,shape,quality,Male,cheese,food,square,broken,1.0,5,Ελληνικά,1,Yes,25,2,,5c6e01f1a8f71b0001c1ed34,Chrome,Windows,768,1366,4.366183333333334,8
3,age,color,Male,carrot,food,rotten,blue,0.99,6,Ελληνικά,1,Yes,25,2,,5c6e01f1a8f71b0001c1ed34,Chrome,Windows,768,1366,4.366183333333334,8
4,color,age,Male,apple,food,yellow,fresh,0.0,7,Ελληνικά,1,Yes,25,2,,5c6e01f1a8f71b0001c1ed34,Chrome,Windows,768,1366,4.366183333333334,8
5,material,texture,Male,carrot,food,metal,soft,0.0,8,Ελληνικά,1,Yes,25,2,,5c6e01f1a8f71b0001c1ed34,Chrome,Windows,768,1366,4.366183333333334,8
6,shape,color,Male,carrot,food,square,purple,1.0,9,Ελληνικά,1,Yes,25,2,,5c6e01f1a8f71b0001c1ed34,Chrome,Windows,768,1366,4.366183333333334,8
7,size,age,Male,carrot,food,short,new,0.04,10,Ελληνικά,1,Yes,25,2,,5c6e01f1a8f71b0001c1ed34,Chrome,Windows,768,1366,4.366183333333334,8
8,color,material,Male,TV,furniture,yellow,plastic,0.87,11,Ελληνικά,1,Yes,25,2,,5c6e01f1a8f71b0001c1ed34,Chrome,Windows,768,1366,4.366183333333334,8
9,shape,age,Male,fan,furniture,square,old,0.77,12,Ελληνικά,1,Yes,25,2,,5c6e01f1a8f71b0001c1ed34,Chrome,Windows,768,1366,4.366183333333334,8
10,color,texture,Male,banana,food,red,smooth,0.13,13,Ελληνικά,1,Yes,25,2,,5c6e01f1a8f71b0001c1ed34,Chrome,Windows,768,1366,4.366183333333334,8
11,size,color,Male,tomato,food,small,purple,0.85,14,Ελληνικά,1,Yes,25,2,,5c6e01f1a8f71b0001c1ed34,Chrome,Windows,768,1366,4.366183333333334,8
12,color,age,Male,fan,furniture,green,old,0.13,15,Ελληνικά,1,Yes,25,2,,5c6e01f1a8f71b0001c1ed34,Chrome,Windows,768,1366,4.366183333333334,8
13,shape,age,Male,tomato,food,round,old,0.16,16,Ελληνικά,1,Yes,25,2,,5c6e01f1a8f71b0001c1ed34,Chrome,Windows,768,1366,4.366183333333334,8
14,quality,size,Male,TV,furniture,broken,long,0.87,17,Ελληνικά,1,Yes,25,2,,5c6e01f1a8f71b0001c1ed34,Chrome,Windows,768,1366,4.366183333333334,8
15,color,material,Male,couch,furniture,green,plastic,0.07,18,Ελληνικά,1,Yes,25,2,,5c6e01f1a8f71b0001c1ed34,Chrome,Windows,768,1366,4.366183333333334,8
16,quality,age,Male,fan,furniture,broken,new,0.14,19,Ελληνικά,1,Yes,25,2,,5c6e01f1a8f71b0001c1ed34,Chrome,Windows,768,1366,4.366183333333334,8
17,quality,age,Male,apple,food,broken,rotten,0.09,20,Ελληνικά,1,Yes,25,2,,5c6e01f1a8f71b0001c1ed34,Chrome,Windows,768,1366,4.366183333333334,8
18,color,size,Male,fan,furniture,yellow,small,0.79,21,Ελληνικά,1,Yes,25,2,,5c6e01f1a8f71b0001c1ed34,Chrome,Windows,768,1366,4.366183333333334,8
19,quality,material,Male,fan,furniture,broken,metal,0.1,22,Ελληνικά,1,Yes,25,2,,5c6e01f1a8f71b0001c1ed34,Chrome,Windows,768,1366,4.366183333333334,8
20,material,size,Male,chair,furniture,plastic,big,0.87,23,Ελληνικά,1,Yes,25,2,,5c6e01f1a8f71b0001c1ed34,Chrome,Windows,768,1366,4.366183333333334,8
21,size,color,Male,fan,furniture,big,green,0.79,24,Ελληνικά,1,Yes,25,2,,5c6e01f1a8f71b0001c1ed34,Chrome,Windows,768,1366,4.366183333333334,8
22,color,shape,Male,carrot,food,green,square,0.34,25,Ελληνικά,1,Yes,25,2,,5c6e01f1a8f71b0001c1ed34,Chrome,Windows,768,1366,4.366183333333334,8
23,material,quality,Male,chair,furniture,wooden,good,0.66,26,Ελληνικά,1,Yes,25,2,,5c6e01f1a8f71b0001c1ed34,Chrome,Windows,768,1366,4.366183333333334,8
24,age,color,Male,tomato,food,old,yellow,0.21,27,Ελληνικά,1,Yes,25,2,,5c6e01f1a8f71b0001c1ed34,Chrome,Windows,768,1366,4.366183333333334,8
25,color,shape,Male,desk,furniture,green,square,0.78,28,Ελληνικά,1,Yes,25,2,,5c6e01f1a8f71b0001c1ed34,Chrome,Windows,768,1366,4.366183333333334,8
0,texture,size,Male,fan,furniture,soft,long,1.0,3,Ελληνικά,1,Yes,21,3,,5cfddbd3ee0b1500019fa84c,Firefox,Windows,1080,1920,2.9475,9
1,color,texture,Male,desk,furniture,green,soft,1.0,4,Ελληνικά,1,Yes,21,3,,5cfddbd3ee0b1500019fa84c,Firefox,Windows,1080,1920,2.9475,9
2,material,color,Male,desk,furniture,metal,purple,1.0,5,Ελληνικά,1,Yes,21,3,,5cfddbd3ee0b1500019fa84c,Firefox,Windows,1080,1920,2.9475,9
3,size,material,Male,tomato,food,short,metal,1.0,6,Ελληνικά,1,Yes,21,3,,5cfddbd3ee0b1500019fa84c,Firefox,Windows,1080,1920,2.9475,9
4,texture,size,Male,TV,furniture,hard,big,0.0,7,Ελληνικά,1,Yes,21,3,,5cfddbd3ee0b1500019fa84c,Firefox,Windows,1080,1920,2.9475,9
5,color,size,Male,fan,furniture,blue,long,0.0,8,Ελληνικά,1,Yes,21,3,,5cfddbd3ee0b1500019fa84c,Firefox,Windows,1080,1920,2.9475,9
6,age,color,Male,fan,furniture,new,blue,1.0,9,Ελληνικά,1,Yes,21,3,,5cfddbd3ee0b1500019fa84c,Firefox,Windows,1080,1920,2.9475,9
7,color,age,Male,tomato,food,blue,new,0.0,10,Ελληνικά,1,Yes,21,3,,5cfddbd3ee0b1500019fa84c,Firefox,Windows,1080,1920,2.9475,9
8,quality,texture,Male,fan,furniture,broken,soft,1.0,11,Ελληνικά,1,Yes,21,3,,5cfddbd3ee0b1500019fa84c,Firefox,Windows,1080,1920,2.9475,9
9,color,size,Male,desk,furniture,blue,short,1.0,12,Ελληνικά,1,Yes,21,3,,5cfddbd3ee0b1500019fa84c,Firefox,Windows,1080,1920,2.9475,9
10,size,color,Male,tomato,food,tiny,blue,1.0,13,Ελληνικά,1,Yes,21,3,,5cfddbd3ee0b1500019fa84c,Firefox,Windows,1080,1920,2.9475,9
11,size,quality,Male,cheese,food,big,broken,1.0,14,Ελληνικά,1,Yes,21,3,,5cfddbd3ee0b1500019fa84c,Firefox,Windows,1080,1920,2.9475,9
12,age,color,Male,tomato,food,fresh,red,1.0,15,Ελληνικά,1,Yes,21,3,,5cfddbd3ee0b1500019fa84c,Firefox,Windows,1080,1920,2.9475,9
13,color,quality,Male,TV,furniture,green,broken,0.0,16,Ελληνικά,1,Yes,21,3,,5cfddbd3ee0b1500019fa84c,Firefox,Windows,1080,1920,2.9475,9
14,quality,texture,Male,carrot,food,good,soft,1.0,17,Ελληνικά,1,Yes,21,3,,5cfddbd3ee0b1500019fa84c,Firefox,Windows,1080,1920,2.9475,9
15,texture,quality,Male,carrot,food,soft,good,0.0,18,Ελληνικά,1,Yes,21,3,,5cfddbd3ee0b1500019fa84c,Firefox,Windows,1080,1920,2.9475,9
16,color,quality,Male,apple,food,blue,good,0.0,19,Ελληνικά,1,Yes,21,3,,5cfddbd3ee0b1500019fa84c,Firefox,Windows,1080,1920,2.9475,9
17,quality,size,Male,fan,furniture,good,big,1.0,20,Ελληνικά,1,Yes,21,3,,5cfddbd3ee0b1500019fa84c,Firefox,Windows,1080,1920,2.9475,9
18,size,shape,Male,desk,furniture,small,round,1.0,21,Ελληνικά,1,Yes,21,3,,5cfddbd3ee0b1500019fa84c,Firefox,Windows,1080,1920,2.9475,9
19,quality,age,Male,cheese,food,good,old,0.0,22,Ελληνικά,1,Yes,21,3,,5cfddbd3ee0b1500019fa84c,Firefox,Windows,1080,1920,2.9475,9
20,color,shape,Male,desk,furniture,blue,round,0.0,23,Ελληνικά,1,Yes,21,3,,5cfddbd3ee0b1500019fa84c,Firefox,Windows,1080,1920,2.9475,9
21,quality,shape,Male,banana,food,good,round,1.0,24,Ελληνικά,1,Yes,21,3,,5cfddbd3ee0b1500019fa84c,Firefox,Windows,1080,1920,2.9475,9
22,texture,quality,Male,couch,furniture,smooth,broken,1.0,25,Ελληνικά,1,Yes,21,3,,5cfddbd3ee0b1500019fa84c,Firefox,Windows,1080,1920,2.9475,9
23,material,texture,Male,couch,furniture,plastic,smooth,1.0,26,Ελληνικά,1,Yes,21,3,,5cfddbd3ee0b1500019fa84c,Firefox,Windows,1080,1920,2.9475,9
24,age,texture,Male,banana,food,old,hard,1.0,27,Ελληνικά,1,Yes,21,3,,5cfddbd3ee0b1500019fa84c,Firefox,Windows,1080,1920,2.9475,9
25,age,shape,Male,cheese,food,new,round,0.0,28,Ελληνικά,1,Yes,21,3,,5cfddbd3ee0b1500019fa84c,Firefox,Windows,1080,1920,2.9475,9
0,size,age,Male,desk,furniture,long,rotten,1.0,3,Ελληνικά,2,Yes,34,3,,5d374dad87890100159e52b3,Chrome,Windows,768,1366,7.365733333333333,10
1,texture,color,Male,cheese,food,smooth,brown,1.0,4,Ελληνικά,2,Yes,34,3,,5d374dad87890100159e52b3,Chrome,Windows,768,1366,7.365733333333333,10
2,color,shape,Male,cheese,food,green,round,0.0,5,Ελληνικά,2,Yes,34,3,,5d374dad87890100159e52b3,Chrome,Windows,768,1366,7.365733333333333,10
3,quality,texture,Male,desk,furniture,good,soft,0.98,6,Ελληνικά,2,Yes,34,3,,5d374dad87890100159e52b3,Chrome,Windows,768,1366,7.365733333333333,10
4,quality,color,Male,banana,food,broken,yellow,0.97,7,Ελληνικά,2,Yes,34,3,,5d374dad87890100159e52b3,Chrome,Windows,768,1366,7.365733333333333,10
5,shape,size,Male,chair,furniture,round,big,0.0,8,Ελληνικά,2,Yes,34,3,,5d374dad87890100159e52b3,Chrome,Windows,768,1366,7.365733333333333,10
6,shape,color,Male,desk,furniture,square,red,1.0,9,Ελληνικά,2,Yes,34,3,,5d374dad87890100159e52b3,Chrome,Windows,768,1366,7.365733333333333,10
7,texture,shape,Male,apple,food,smooth,round,1.0,10,Ελληνικά,2,Yes,34,3,,5d374dad87890100159e52b3,Chrome,Windows,768,1366,7.365733333333333,10
8,texture,color,Male,fan,furniture,soft,brown,0.01,11,Ελληνικά,2,Yes,34,3,,5d374dad87890100159e52b3,Chrome,Windows,768,1366,7.365733333333333,10
9,color,age,Male,couch,furniture,brown,fresh,0.0,12,Ελληνικά,2,Yes,34,3,,5d374dad87890100159e52b3,Chrome,Windows,768,1366,7.365733333333333,10
10,age,color,Male,apple,food,old,red,0.01,13,Ελληνικά,2,Yes,34,3,,5d374dad87890100159e52b3,Chrome,Windows,768,1366,7.365733333333333,10
11,texture,material,Male,desk,furniture,hard,plastic,0.99,14,Ελληνικά,2,Yes,34,3,,5d374dad87890100159e52b3,Chrome,Windows,768,1366,7.365733333333333,10
12,color,material,Male,tomato,food,brown,plastic,0.99,15,Ελληνικά,2,Yes,34,3,,5d374dad87890100159e52b3,Chrome,Windows,768,1366,7.365733333333333,10
13,color,material,Male,chair,furniture,purple,wooden,0.99,16,Ελληνικά,2,Yes,34,3,,5d374dad87890100159e52b3,Chrome,Windows,768,1366,7.365733333333333,10
14,size,color,Male,cheese,food,small,green,0.97,17,Ελληνικά,2,Yes,34,3,,5d374dad87890100159e52b3,Chrome,Windows,768,1366,7.365733333333333,10
15,quality,size,Male,cheese,food,broken,short,0.05,18,Ελληνικά,2,Yes,34,3,,5d374dad87890100159e52b3,Chrome,Windows,768,1366,7.365733333333333,10
16,color,texture,Male,chair,furniture,purple,soft,0.02,19,Ελληνικά,2,Yes,34,3,,5d374dad87890100159e52b3,Chrome,Windows,768,1366,7.365733333333333,10
17,color,size,Male,chair,furniture,yellow,long,0.0,20,Ελληνικά,2,Yes,34,3,,5d374dad87890100159e52b3,Chrome,Windows,768,1366,7.365733333333333,10
18,color,quality,Male,chair,furniture,red,broken,0.98,21,Ελληνικά,2,Yes,34,3,,5d374dad87890100159e52b3,Chrome,Windows,768,1366,7.365733333333333,10
19,age,shape,Male,chair,furniture,old,round,0.0,22,Ελληνικά,2,Yes,34,3,,5d374dad87890100159e52b3,Chrome,Windows,768,1366,7.365733333333333,10
20,texture,material,Male,banana,food,hard,plastic,0.95,23,Ελληνικά,2,Yes,34,3,,5d374dad87890100159e52b3,Chrome,Windows,768,1366,7.365733333333333,10
21,quality,size,Male,carrot,food,good,long,0.99,24,Ελληνικά,2,Yes,34,3,,5d374dad87890100159e52b3,Chrome,Windows,768,1366,7.365733333333333,10
22,material,texture,Male,cheese,food,wooden,smooth,0.99,25,Ελληνικά,2,Yes,34,3,,5d374dad87890100159e52b3,Chrome,Windows,768,1366,7.365733333333333,10
23,age,color,Male,carrot,food,old,blue,0.98,26,Ελληνικά,2,Yes,34,3,,5d374dad87890100159e52b3,Chrome,Windows,768,1366,7.365733333333333,10
24,quality,texture,Male,carrot,food,good,soft,0.0,27,Ελληνικά,2,Yes,34,3,,5d374dad87890100159e52b3,Chrome,Windows,768,1366,7.365733333333333,10
25,color,quality,Male,fan,furniture,red,broken,0.97,28,Ελληνικά,2,Yes,34,3,,5d374dad87890100159e52b3,Chrome,Windows,768,1366,7.365733333333333,10
0,size,shape,Male,tomato,food,small,round,0.94,3,Ελλάδα,1,Yes,25,2,ενδιαφερον αλλα ισως υπερβολικα απλο,5d16079838325b001892e6f0,Chrome,Windows,1024,1280,4.763766666666666,11
1,color,size,Male,fan,furniture,blue,tiny,0.01,4,Ελλάδα,1,Yes,25,2,ενδιαφερον αλλα ισως υπερβολικα απλο,5d16079838325b001892e6f0,Chrome,Windows,1024,1280,4.763766666666666,11
2,age,color,Male,chair,furniture,old,blue,0.97,5,Ελλάδα,1,Yes,25,2,ενδιαφερον αλλα ισως υπερβολικα απλο,5d16079838325b001892e6f0,Chrome,Windows,1024,1280,4.763766666666666,11
3,size,texture,Male,chair,furniture,small,smooth,0.96,6,Ελλάδα,1,Yes,25,2,ενδιαφερον αλλα ισως υπερβολικα απλο,5d16079838325b001892e6f0,Chrome,Windows,1024,1280,4.763766666666666,11
4,quality,age,Male,TV,furniture,broken,fresh,0.02,7,Ελλάδα,1,Yes,25,2,ενδιαφερον αλλα ισως υπερβολικα απλο,5d16079838325b001892e6f0,Chrome,Windows,1024,1280,4.763766666666666,11
5,color,size,Male,apple,food,green,long,0.02,8,Ελλάδα,1,Yes,25,2,ενδιαφερον αλλα ισως υπερβολικα απλο,5d16079838325b001892e6f0,Chrome,Windows,1024,1280,4.763766666666666,11
6,age,color,Male,banana,food,fresh,green,0.96,9,Ελλάδα,1,Yes,25,2,ενδιαφερον αλλα ισως υπερβολικα απλο,5d16079838325b001892e6f0,Chrome,Windows,1024,1280,4.763766666666666,11
7,material,age,Male,chair,furniture,plastic,fresh,0.02,10,Ελλάδα,1,Yes,25,2,ενδιαφερον αλλα ισως υπερβολικα απλο,5d16079838325b001892e6f0,Chrome,Windows,1024,1280,4.763766666666666,11
8,material,color,Male,desk,furniture,plastic,purple,0.96,11,Ελλάδα,1,Yes,25,2,ενδιαφερον αλλα ισως υπερβολικα απλο,5d16079838325b001892e6f0,Chrome,Windows,1024,1280,4.763766666666666,11
9,color,age,Male,tomato,food,yellow,fresh,0.01,12,Ελλάδα,1,Yes,25,2,ενδιαφερον αλλα ισως υπερβολικα απλο,5d16079838325b001892e6f0,Chrome,Windows,1024,1280,4.763766666666666,11
10,age,texture,Male,chair,furniture,fresh,smooth,0.98,13,Ελλάδα,1,Yes,25,2,ενδιαφερον αλλα ισως υπερβολικα απλο,5d16079838325b001892e6f0,Chrome,Windows,1024,1280,4.763766666666666,11
11,quality,color,Male,tomato,food,broken,blue,0.96,14,Ελλάδα,1,Yes,25,2,ενδιαφερον αλλα ισως υπερβολικα απλο,5d16079838325b001892e6f0,Chrome,Windows,1024,1280,4.763766666666666,11
12,age,shape,Male,banana,food,new,round,0.98,15,Ελλάδα,1,Yes,25,2,ενδιαφερον αλλα ισως υπερβολικα απλο,5d16079838325b001892e6f0,Chrome,Windows,1024,1280,4.763766666666666,11
13,color,material,Male,couch,furniture,red,plastic,0.02,16,Ελλάδα,1,Yes,25,2,ενδιαφερον αλλα ισως υπερβολικα απλο,5d16079838325b001892e6f0,Chrome,Windows,1024,1280,4.763766666666666,11
14,size,color,Male,fan,furniture,short,purple,0.95,17,Ελλάδα,1,Yes,25,2,ενδιαφερον αλλα ισως υπερβολικα απλο,5d16079838325b001892e6f0,Chrome,Windows,1024,1280,4.763766666666666,11
15,age,size,Male,cheese,food,fresh,long,0.97,18,Ελλάδα,1,Yes,25,2,ενδιαφερον αλλα ισως υπερβολικα απλο,5d16079838325b001892e6f0,Chrome,Windows,1024,1280,4.763766666666666,11
